"mode"	"variant"	"file"	"scope_kib"	"input_bytes"	"archive_bytes"	"ratio"	"bpb"	"encode_seconds"	"decode_seconds"	"peak_ram_mib"	"roundtrip"	"codec_sha256"
"lzma"	"r2-lzma"	"dickens"	"32"	"32768"	"13027"	"0.397552490234375"	"3.180419921875"	"0.0893711"	"0.0925294"	"4.53125"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"lzma"	"r2-lzma"	"mozilla"	"32"	"32768"	"8601"	"0.262481689453125"	"2.099853515625"	"0.0617116"	"0.0616443"	"2.00390625"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"lzma"	"r2-lzma"	"mr"	"32"	"32768"	"6731"	"0.205413818359375"	"1.643310546875"	"0.0681571"	"0.0672806"	"2.484375"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"lzma"	"r2-lzma"	"nci"	"32"	"32768"	"2495"	"0.076141357421875"	"0.609130859375"	"0.0575381"	"0.0502664"	"4.82421875"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"lzma"	"r2-lzma"	"ooffice"	"32"	"32768"	"12372"	"0.3775634765625"	"3.0205078125"	"0.0640954"	"0.0499963"	"2.67578125"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"lzma"	"r2-lzma"	"osdb"	"32"	"32768"	"14483"	"0.441986083984375"	"3.535888671875"	"0.0600561"	"0.0488544"	"4.71875"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"lzma"	"r2-lzma"	"reymont"	"32"	"32768"	"8810"	"0.26885986328125"	"2.15087890625"	"0.0577307"	"0.0481164"	"4.66015625"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"lzma"	"r2-lzma"	"samba"	"32"	"32768"	"10865"	"0.331573486328125"	"2.652587890625"	"0.0566661"	"0.0660006"	"2.453125"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"lzma"	"r2-lzma"	"sao"	"32"	"32768"	"22279"	"0.679901123046875"	"5.439208984375"	"0.0837715"	"0.0526033"	"4.70703125"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"lzma"	"r2-lzma"	"webster"	"32"	"32768"	"12595"	"0.384368896484375"	"3.074951171875"	"0.0563735"	"0.0514821"	"4.66796875"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"lzma"	"r2-lzma"	"x-ray"	"32"	"32768"	"18233"	"0.556427001953125"	"4.451416015625"	"0.061979"	"0.0461752"	"2.75"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
"lzma"	"r2-lzma"	"xml"	"32"	"32768"	"2614"	"0.07977294921875"	"0.63818359375"	"0.0527451"	"0.0504478"	"4.515625"	"PASS"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"
