"stage","block_size_kib","file","scope_kib","input_sha256","ranker_version","ranker_crc32","ranker_sha256","policy","reference_kind","full_auto_archive_bytes","shortlist_archive_bytes","regret_vs_full_auto_bytes","full_auto_selected_modes","shortlist_candidate_modes","full_auto_selected_mode_covered","tie_aware_winner_recall_available","candidates_evaluated","encode_seconds","decode_seconds","peak_ram_mib","roundtrip"
"e5-router","128","dickens","32","FC42DCB9849222C8704C9DCAE606D075B389B66244FB215035148D6409EC0B31","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k8","full-auto-reference","9598","9598","0","paq8px-detected-sse=1","0:1,2:1,4:1,6:1,19:1,28:1,36:1,37:1","True","False","8","33.100549","7.7596381","546.375","PASS"
"e5-router","128","dickens","64","134AD989A7B8B40C900A3B9C0F4895317DFD827D9E6E933895B08D2F4A8A8293","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k2","full-auto-reference","17844","18022","178","paq8px-detected-sse=1","0:1,36:1","False","False","2","30.3817017","34.9403373","546.7109375","PASS"
"e5-router","128","dickens","64","134AD989A7B8B40C900A3B9C0F4895317DFD827D9E6E933895B08D2F4A8A8293","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k4","full-auto-reference","17844","17844","0","paq8px-detected-sse=1","0:1,2:1,36:1,37:1","True","False","4","68.6020765","18.9668598","546.7109375","PASS"
"e5-router","128","dickens","64","134AD989A7B8B40C900A3B9C0F4895317DFD827D9E6E933895B08D2F4A8A8293","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k8","full-auto-reference","17844","17844","0","paq8px-detected-sse=1","0:1,2:1,4:1,6:1,19:1,28:1,36:1,37:1","True","False","8","68.2181226","20.1877861","546.70703125","PASS"
"e5-router","128","mozilla","128","85CDBEA98382DB12E9A21FF90E1907452712D074000A6B855D2CA215FA591EB4","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k2","full-auto-reference","11547","11547","0","paq8px-generic-sse=1","0:1,36:1","True","False","2","60.5946033","54.7289213","552.26953125","PASS"
"e5-router","128","mozilla","128","85CDBEA98382DB12E9A21FF90E1907452712D074000A6B855D2CA215FA591EB4","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k4","full-auto-reference","11547","11547","0","paq8px-generic-sse=1","0:1,2:1,36:1,37:1","True","False","4","129.249426","64.4395244","734.14453125","PASS"
"e5-router","128","mozilla","128","85CDBEA98382DB12E9A21FF90E1907452712D074000A6B855D2CA215FA591EB4","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k8","full-auto-reference","11547","11547","0","paq8px-generic-sse=1","0:1,2:1,3:1,4:1,10:1,12:1,36:1,37:1","True","False","8","123.0113214","58.8166184","734.16796875","PASS"
"e5-router","128","mozilla","32","9DDEEF36CA0CA55B72FE3376D005926DFF3400A2ADE6EAE18482D8017D8645DB","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k2","full-auto-reference","6256","6285","29","paq8px-detected-sse=1","0:1,36:1","False","False","2","12.4396152","12.4614022","550.484375","PASS"
"e5-router","128","mozilla","32","9DDEEF36CA0CA55B72FE3376D005926DFF3400A2ADE6EAE18482D8017D8645DB","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k4","full-auto-reference","6256","6256","0","paq8px-detected-sse=1","0:1,2:1,36:1,37:1","True","False","4","35.1964983","14.0555865","734.0390625","PASS"
"e5-router","128","mozilla","32","9DDEEF36CA0CA55B72FE3376D005926DFF3400A2ADE6EAE18482D8017D8645DB","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k8","full-auto-reference","6256","6256","0","paq8px-detected-sse=1","0:1,2:1,3:1,4:1,10:1,12:1,36:1,37:1","True","False","8","35.6803837","14.7904453","734.03515625","PASS"
"e5-router","128","mozilla","64","B0050240663F54371D372303EEABA0A59AB0758BCD565F4F639D06561E6BC996","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k2","full-auto-reference","8856","8856","0","paq8px-generic-sse=1","0:1,36:1","True","False","2","21.5330909","24.0179354","551.7109375","PASS"
"e5-router","128","mozilla","64","B0050240663F54371D372303EEABA0A59AB0758BCD565F4F639D06561E6BC996","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k4","full-auto-reference","8856","8856","0","paq8px-generic-sse=1","0:1,2:1,36:1,37:1","True","False","4","68.1632131","34.2134911","734.07421875","PASS"
"e5-router","128","mozilla","64","B0050240663F54371D372303EEABA0A59AB0758BCD565F4F639D06561E6BC996","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k8","full-auto-reference","8856","8856","0","paq8px-generic-sse=1","0:1,2:1,3:1,4:1,10:1,12:1,36:1,37:1","True","False","8","67.3931415","30.9534089","734.06640625","PASS"
"e5-router","128","mr","128","473A6A883480C7B2E69402AD888AC07B347C2DF61C6AA0D84E8B8130A27792EA","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k2","full-auto-reference","21642","21642","0","paq8px-generic-sse=1","0:1,36:1","True","False","2","84.4023034","84.6557565","546.3515625","PASS"
"e5-router","128","mr","128","473A6A883480C7B2E69402AD888AC07B347C2DF61C6AA0D84E8B8130A27792EA","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k4","full-auto-reference","21642","21642","0","paq8px-generic-sse=1","0:1,2:1,36:1,37:1","True","False","4","198.6252671","95.1831924","546.34375","PASS"
"e5-router","128","mr","128","473A6A883480C7B2E69402AD888AC07B347C2DF61C6AA0D84E8B8130A27792EA","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k8","full-auto-reference","21642","21642","0","paq8px-generic-sse=1","0:1,2:1,3:1,4:1,10:1,12:1,36:1,37:1","True","False","8","185.6735965","90.8213725","546.359375","PASS"
